1298412573793	svyturys_baltas	Švyturio baltas	1302817536972,1298412463871,1298412463872,1298412463911,1298412463877,1298412463904,1298412463919,1299399186159,1298412463874,1300871783651,1298412463884,1298412463885	white,rural	1298412573792
1298413279048	guinness	Guinness	1302817536972,1298412463871,1298412463912,1298412463891,1298412463924,1302817535835,1299399186159,1298572132631,1305795077099,1298564989990,1298412463885	dark,foreign	1298413279048
1298454383016	backoriu_tamsusis	Bačkorių tamsusis	1298412463895	dark,rural	1298454383016
1298454557038	belmonto_ypatingas	Belmonto ypatingasis	1298412463898	dark,rural	1298454557038
1298454754870	belmonto_sviesusis	Belmonto šviesusis	1298412463898	lager,rural	1298454557038
1298454754871	bernard_cerne	Bernard Černe	1300352297382,1298412463890,1298412463922,1300352297384,1298412463924	dark,foreign	1298454754870
1298454754872	birzu_miezinis	Biržų miežinis	1301595464872,1298412463884	rural	1298454754871
1298454754873	birzu_sirvenos	Biržų Širvenos	1298412463895,1298412463916,1298412463884	lager,rural	1298454754871
1298455423281	bravaria	Bravaria	1298412463902,1298412463873	lager	1298455423280
1298457129768	busi_trecias	Būsi Trečias	1298412463904,1301595464872	dark,rural	1298456628786
1298457129769	butautu_dvaro	Butautų dvaro	1298412463921,1298412463893,1302817535835,1301595464872	dark,rural	1298457129768
1298457635065	carlsberg	Carlsberg	1302817536972,1298412463871,1300871783651,1298412463885	lager,foreign	1298457352612
1298457764538	chodovar	Chodovar	1301595464872	lager	1298457764537
1298457764539	chodovar_tamsus	Chodovar tamsus	1298412463876	dark	1298457764537
1298457764540	daujotu	Daujotų	1298412463895,1298572132634	rural	1298457764538
1298457764541	dundulio	Dundulio	1298412463895,1301595464872,1298412463927	rural	1298457764539
1298458184070	ekstra_tvirtoves	Ekstra Tvirtovės	1298412463911	strong,rural	1298458184070
1298458184071	erdinger	Erdinger Wiessier	1302817536972,1298412463922,1298412463913,1300352297384,1298412463924,1298412463904,1298412463909,1298412463875	white,foreign	1298458184071
1298458459951	franziskaner	Franziskaner	1300352297384,1298412463925	white,foreign	1298458459951
1298459122256	grimbergen	Grimbergen Dubbel	1298412463883,1298412463871,1298412463906,1299076781545,1298412463874,1300871783651,1298412463884	strong,dark,foreign	1298459122255
