1298467933279	Tucher šviesus	1298412463872	de	white,foreign	1298467933278
1298468222478	Utenos	1302817536972,1298412463872,1298412463911,1298412463896	lt	lager	1298468222478
1298468409249	Varniukų tamsusis	1298412463912,1298412463895,1298412463914,1298412463901,1298572132634	lt	dark,rural	1298468400664
1298468409250	Veltins	1298412463924,1298412463903	de	lager	1298468409249
1298468640960	Vilkmergės	1298412463882	lt	rural	1298468640960
1298468640961	Vilkmergės tamsusis	1298412463895,1298412463887	lt	dark,rural	1298468640960
1298468640962	Vilniaus kvietinis	1298412463901,1298412463927,1298572132634	lt	white	1298468640961
1298468640963	Vilniaus nefiltruotas	1298412463895,1298412463927	lt	lager	1298468640961
1298468992555	Volf Engelman	1298412463882,1298412463877,1298412463878,1298412463875,1298412463876	lt	lager	1298468992555
1298468992556	Warsteiner	1298572132635,1298412463929,1298412463903,1298412463909	de	lager,foreign	1298468992556
1298469264835	Zubr	1298412463925	pl	lager,foreign	1298469264835
1298469264836	Leffe	1302817536972,1300352297384,1298412463900,1298572132631	be	strong,white,foreign	1298469264836
1298469264837	Avilio šviesusis	1298412463870	lt	rural	1298469264837
1298469264838	Medaus pusšviesis	1298412463870	lt	rural	1298469264837
1298469579002	Velvet	null	cz	foreign	1298465958798
1298558376245	Murphys Red	1302817536972,1298412463924,1298412463900,1299399186159	ie	lager	1298463390704
1298573281777	Leffe Brune	1298572132631	be	strong,dark	1298469264836
1298573285301	Budweiser	1300352297384,1298412463924	cz	lager	1298465958797
1298573473092	Kalnapilis	1300352297382,1300352297384,1298572132634	lt	lager	1298460438889
1298573744976	Kupiškėnų Šventinis	1300352297382,1301595464872,1298572132634	lt	rural	1298573744976
1298573744977	Salaus	1300352297384,1298572132634	lt	rural	1298573744976
1298624622840	Budweiser dark	1298412463924	cz	dark	1298465958797
1298624622841	Bernard	1300352297382,1302817536972,1300352297384,1298412463924	cz	lager	1298454754870
1298624622842	Krušovice Černe	1300352297382,1298412463924	cz	dark	1298462222793
1298624622844	Erdinger Dunkel	1298412463924	de	dark	1298458184071
1299076900891	Čižo naminis tamsus	1299076781545	lt	dark	1299076781545
1300352297382	Vilniaus tamsusis	1300352297384,1301595464872	lt	dark	1298468640961
1300352923282	Lokio Žemaitiškas	1300352297384,1301595464872	lt	rural	1300352923282
1300352923283	Kauno tamsusis	1300352297384,1301595464872	lt	dark	1298458184070
1300352923284	Alyno šviesusis	1300352297384	lt	rural	1300352923283
1300353237844	Ponoro kaimiškas	1300352297384,1301595464872	lt	rural	1300353237844
1300353237845	Kozel dark	1300352297384	cz	dark	1298461966693
1301935654478	Lobkowicz Demon	1300352297382	cz	lager,foreign	1301935654478
1302817535363	Chimay	1302817536972	be	foreign	1302817535363
1302817535364	Paulaner Original Münchner Hell 	1302817536972	de	light	1302817535364
1302817535365	Kanapinis šviesus	1298572132634	lt	light,rural	1298460821095
1302817536972	Duvel	1302817536972	be	foreign	1302817536972
1302817536973	Pauwel Kwak	1299399186159	be	strong	1302817536973
